N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
1;Nella scienza dell'organizzazione, a cosa si riferisce il noto modello di Tuckman?;Un modello comportamentale dell'individuo sul lavoro.;Un modus operandi del gruppo.;Un esempio da seguire sul lavoro.;Uno schema di come dovrebbero regolarsi i gruppi sul lavoro.
2;Nella scienza dell'organizzazione, il modello di Tuckman suppone:;che i membri del team siano nuovi l’uno per l’altro.;che i membri del team inizialmente affronteranno una dinamica individuale.;che i membri del team inizialmente affronteranno una dinamica di gruppo già conosciuta.;che i membri del team dovranno evolversi sia individualmente sia nel gruppo.
3;Qual è il modello che enfatizza l'evoluzione del gruppo?;Il modello di Tuckman.;Il modello di Weber.;Il modello di Taylor.;Il modello di Simon.
4;Quante e quali sono le fasi previste dal modello di Tuckman?;"Inizialmente erano quattro: Forming, Storming, Norming, Performing; successivamente si aggiunse una quinta, Adjourning.";"Inizialmente erano quattro: Forming, Storming, Adjourning, Performing; successivamente si è aggiunta una quinta, Norming.";"Inizialmente erano tre: Forming, Storming, Norming; successivamente si aggiunsero Performing e Adjourning.";"Inizialmente erano tre: Forming, Performing, Norming; successivamente si aggiunsero Storming e Adjourning."
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
5;Nel modello Tuckman, affinché un gruppo si sviluppi deve inevitabilmente attraversare quali fasi, prima di iniziare ad ottenere risultati?;Forming, Storming, Norming, Performing e Adjourning.;Forming, Storming, Norming e Performing.;Storming, Norming, Performing e Adjourning.;Forming, Adjourning, Performing e Storming.
6;Cos’è il Brainstorming?;È uno scambio di idee fra i membri di un team di lavoro, guidato da un conduttore il cui fine è quello di generare soluzioni condivise, stimolando la creatività di tutte le risorse coinvolte.;È il più comune degli assesment, utilizzato per valutare le abilità, le competenze e il potenziale di un singolo candidato o dipendente.;È un assesment center, che unisce diversi strumenti di valutazione, quali simulazioni, giochi di ruolo e interviste.;È un approccio di valutazione con test psicometrici.
7;Parlando di teorie organizzative, le principali scuole classiche, che si sono affermate alla fine del XIX secolo, si concentrano su due principali approcci teorici:;lo scientific management di Taylor (1911) e la teoria di Fayol (1916).;lo scientific management di Taylor (1911) e lo “Human Relations Movement” Mayo (1924).;la teoria di Fayol (1916) e lo “Human Relations Movement” Mayo (1924).;La teoria delle norme e sulle regole di Weber (1905) e la teoria della direzione aziendale di Fayol (1916).
8;Il concetto di leadership trasformazionale è stato introdotto da:;James MacGregor Burns, nel 1978.;Bruce Tuckman, nel 1965.;Max Weber nel 1905.;Henry Mintzberg, nel 1968.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
9;Cosa sono le soft skills?;Con questo termine si indicano le abilità personali e trasversali che ci permettono di interagire efficacemente con gli altri e di adattarci alle situazioni.;Il termine indica le capacità di trasformazione dell’individuo, che gli consentono di correggere errori in corsa.;Il termine sta a indicare le competenze trasformazionali della leadership.;Con questo termine si indicano le abilità personali che ci permettono di cooperare in situazioni di difficoltà.
10;Secondo Taylor la selezione scientifica della manodopera è:;Uno dei compiti fondamentali assegnati alla direzione.;Un meccanismo organizzativo.;Una prassi organizzativa.;Un metodo da esternalizzare.
11;Utilizzando un approccio di tipo sistemico nel guardare all'organizzazione di un servizio territoriale, si può affermare che il primo livello di coerenza del sistema sia tra ogni singola persona e il proprio ruolo. Questo comporta:;Una redistribuzione dei compiti o di interi programmi di lavoro in funzione di persone che entrano o escono dal sistema.;Una cristallizzazione dei ruoli sessualmente caratterizzati.;Un'accettazione incondizionata e immutabile delle aspettative di ruolo.;Nessuna risposta può rientrare in una concettualizzazione di tipo sistemico.
12;Nell'ambito della teoria dell'organizzazione, l'ufficio è:;l'unità organizzativa degli enti.;una struttura organizzativa complessa articolata in sezioni.;l'insieme delle attribuzioni dell'organo.;un'organizzazione decentrata.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
13;Il filone contingency si propone di ricercare modelli di spiegazione per la relazione:;contesto / organizzazione.;organizzazione / dipendenti.;contesto / profitto.;dirigenti / impiegati.
14;Secondo la teoria delle contingenze:;le organizzazioni devono mantenere un elevato grado di despecializzazione per adeguarsi alle esigenze del mercato.;nelle organizzazioni il fattore tecnologico è l’unico in grado di garantire un buon andamento.;le organizzazioni devono essere altamente specializzate e rigorosamente impostate per fronteggiare le richieste del mercato.;il “one best way” è il modo più adatto per organizzare il lavoro.
15;Secondo H. Simon l’uomo, nel lavoro, ha:;una razionalità limitata.;bisogno di essere comandato.;l’esigenza psicologica di avere successo nel lavoro.;la capacità, attraverso le giuste informazioni, di fare sempre la scelta più efficiente.
16;L’elemento distintivo di una cultura organizzativa di tipo tecnocratico è:;la competenza professionale.;l’autoritarismo.;l’importanza data ai rapporti interpersonali.;il rispetto rigoroso dei ruoli.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
17;L’elemento distintivo di una cultura organizzativa di tipo burocratico è:;il rispetto delle norme e delle responsabilità legate al ruolo.;la collaborazione tra dirigenti, impiegati e operai.;la flessibilità dei ruoli.;l’incentivazione della motivazione al lavoro.
18;Il valore principale in una cultura organizzativa di tipo autoritario è:;la fedeltà.;il merito personale.;la cooperazione.;la libertà di espressione.
19;L’espressione “cultura organizzativa” indica:;il sistema di valori e norme che caratterizzano un’organizzazione.;la provenienza etnica della maggioranza dei dipendenti.;la scolarità media dei dipendenti.;le regole precisate nei mansionari dei dipendenti.
20;I cosiddetti “Circoli di Qualità”, nati in Giappone negli anni ’50, sono:;gruppi di operai e impiegati.;gruppi di operai e magazzinieri.;gruppi di dirigenti;riunioni di specialisti consulenti esterni all’azienda.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
21;Una delle principali critiche allo “scientific management” fu:;la parcellizzazione dell’azione lavorativa.;la divisione del lavoro.;la scarsa importanza data alla tecnologia.;la scarsa importanza data agli incentivi monetari
22;Nel modello organizzativo giapponese si può riscontrare:;una sintesi degli elementi razionali dell’organizzazione con quelli relazionali e di appartenenza.;una visione del lavoratore come di un semplice esecutore.;un approccio improntato esclusivamente all’incremento della tecnologia.;una visione del lavoro come un sacrificio necessario alla sopravvivenza.
23;L’espressione “one best way”, indica uno dei principi su cui si fonda:;il taylorismo.;la scuola delle human relations;il concetto di “razionalità limitata”.;l’approccio funzionalista.
24;Il paradigma delle Human Relations pone l’accento su:;la natura sociale e soggettiva del lavoratore.;la necessità di non stabilire rapporti informali tra la dirigenza e gli operai.;il conflitto di classe.;la necessità di scandire dettagliatamente tempi e modi dell’azione lavorativa.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
25;L’espressione “divisione del lavoro” all’interno dello scientific management significa:;che il lavoro è diviso tra funzioni direttive e funzioni esecutive.;che ogni operaio fa solo il suo lavoro.;che i dirigenti di un’organizzazione si dividono le funzioni direttive.;che il lavoro è diviso in turni di un certo numero di ore.
26;Lo “scientific management” è una teoria organizzativa proposta da:;F. Taylor.;E. Mayo.;Smith.;K. Marx
27;In azienda, il fenomeno della rotazione, del rinnovo o della sostituzione del personale collocato a riposo viene definito:;Turn over.;Burn out.;Job rotation.;Mobilità,
28;Cos'è la logistica applicata in azienda?;Un sistema di gestione di approvvigionamenti e scorte, di programmazione della produzione e della distribuzione dei prodotti finiti.;La logica di gestione dei flussi immateriali.;La distribuzione e l'assegnazione degli spazi in un determinato reparto.;La formulazione degli obiettivi, sia in termini qualitativi che quantitativi.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
29;In campo economico, cedere know-how significa:;vendere conoscenze, competenze tecnico- scientifiche nonché esperienza.;il trasferimento interno di know-how per migliorare le performance aziendali.;identificare quella parte di capitale investito in attività di ricerca e sviluppo.;trasferire a titolo gratuito, ad istituzioni pubbliche di ricerca, le conoscenze acquisite
30;"Una ""Task force aziendale"" è:";un gruppo capace di affrontare e risolvere situazioni improvvise, assumendo precise responsabilità.;un gruppo permanente di esperti a supporto dei vari dipartimenti.;un gruppo informale di manutentori delle apparecchiature.;un gruppo spontaneo di sostegno e coaching.
31;Il Diversity Management distingue due macrocategorie di differenze, quali:;diversità primarie e secondarie.;diversità individuali e ambientali.;diversità di retribuzione e di riconoscimento.;diversità tra marketing interno ed esterno.
32;Il Total Quality Marketing ha come riferimento:;la soddisfazione del cliente.;la soddisfazione degli impiegati.;la soddisfazione della direzione aziendale.;la soddisfazione delle esigenze di mercato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
33;Quale fra le seguenti attività caratterizza una Learninig Organisation?;Apprendere dalle proprie esperienze e dal proprio passato.;Limitare il trasferimento delle informazioni.;Attenersi strettamente alle vecchie strategie.;L'assenza di feedback.
34;Secondo Simon, le caratteristiche della struttura e del funzionamento dell'organizzazione derivano:;dalle caratteristiche del processo umano di risoluzione dei problemi e di scelte razionali.;dalle comunicazioni interne fornite dalla direzione.;dalla fluttuazione del mercato.;dalla rete dei fornitori esterni.
35;"La ""job evaluation"" è:";la valutazione delle mansioni.;l'analisi delle mansioni.;la descrizione delle mansioni.;la specificazione delle mansioni.
36;La pianificazione aziendale è un processo che:;sulla base delle scelte strategiche, formula, in maniera consequenziale, le attività aziendali nel lungo termine.;sullo studio delle vocazioni e competenze aziendali, cerca di prefigurare il futuro comportamento dell'azienda.;si occupa esclusivamente dell'adeguamento dei sistemi di informazione.;si occupa esclusivamente dell'adeguamento della struttura.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
37;Cos'è la missione d'impresa?;Il bisogno che l'impresa/azienda si prefigge di soddisfare a livello collettivo.;Una immagine mentale di uno stato futuro, possibile e desiderabile dell'organizzazione.;Il processo di analisi e comprensione del mercato.;La cultura organizzativa che prevale su tutti i possibili cambiamenti.
38;Come viene esercitato il controllo all'interno di una organizzazione collegiale?;Attraverso l'impegno collettivo, di gruppo.;Attraverso norme, regole, compensi e punizioni.;Attraverso la condiscendenza.;Secondo un ordine prestabilito.
39;In una organizzazione di tipo formalistico:;le norme sono chiare ed esplicite.;compiti finanziari ed operativi sono unificati.;i ruoli sono altamente flessibili.;la fonte del potere decisionale è il gruppo.
40;Secondo il modello della contingenza della leadership:;differenti stili di direzione sono efficaci in condizioni diverse.;la direzione deve essere efficiente ma non efficace.;esiste solo lo stile di leadership carismatica.;leader e capo sono sinonimi.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
41;Il Business Process Reenginering consiste in:;una riprogettazione dei processi organizzativi in termini di obiettivi, tecniche, modalità di coordinamento e controllo.;un approccio alla progettazione dei sistemi informativi come automazione dell’esistente.;un abbassamento dei limiti della razionalità organizzativa.;una subordinazione delle metodologie di progettazione al grado di sviluppo delle tecnologie.
42;"Il sistema ""just-in-time"" si basa su:";ridurre i tempi di attesa del materiale destinato alla produzione facendolo giungere al momento giusto per l’ingresso nella linea di fabbricazione o di montaggio.;lo sviluppo simultaneo di fasi di progetto del prodotto e la loro integrazione.;l'inserimento di circoli di qualità.;"la preservazione della razionalità interna dalle ""turbolenze dell'ambiente""."
43;Cos'è un Assessment Center?;È un sistema di valutazione costituito da una serie di attività e strumenti standardizzati.;È uno strumento di valutazione delle capacità di problem solving di un singolo individuo.;È uno strumento di gestione dei conflitti interni.;È uno strumento di valutazione della comunicazione intergruppi.
44;Nella prospettiva dell'Organizational Behaviour, le relazioni interpersonali devono essere:;cooperative.;affiliative.;competitive.;economiche.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
45;"I ""fattori di mantenimento"" di Herzberg sono aspetti della vita lavorativa:";con un alto effetto frustrante quando negativi.;con un alto effetto motivante quando positivi.;strettamente legati al conseguimento dei risultati.;strettamente legati alla promozione professionale.
46;L'approccio situazionale individua:;le relazioni di causa-effetto che si stabiliscono tra determinate variabili ambientali ed organizzative.;il processo di adattamento dell'organizzazione all'ambiente.;i subsistemi necessari ad un efficace funzionamento organizzativo.;l'assenza di relazione tra la tecnologia e la struttura.
47;In base ai principi di gestione enunciati da Mooney e Reiley:;lo staff consiglia, la line comanda;lo staff comanda, la line consiglia;le attività di staff non possono essere distinte da quelle di line;il management deve essere di tipo partecipativo.
48;Secondo i principi dello Scientific Management, bisognava:;separare nettamente le funzioni mentali da quelle manuali.;delegare l'autorità ai subordinati.;perseguire un'equità nel trattamento dei sottoposti.;integrare i bisogni degli individui con quelli dell'organizzazione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
49;Nel contesto della teoria socioanalitica, Rice definisce il compito primario di un’organizzazione come:;quell’obiettivo al cui fine è stata preordinata la creazione di un dato ente.;l’insieme dei sistemi di premio e punizione e di valutazione delle prestazioni e del potenziale.;la convergenza sulle idee e sui mezzi necessari ad una struttura collettiva.;la relazione che l’organizzazione instaura con l’ambiente esterno.
50;Quali sono i principi su cui si basa l’Organizational Behaviour?;Coinvolgimento ed arricchimento personale.;Prescrizione e controllo.;Sostegno interpersonale.;L’ ambiente fisico e l’addestramento.
51;Cos’è l’effetto Hawthorne?;Il fenomeno per cui lavoratori chiamati ad impegnarsi in una nuova esperienza interessante lavorano di più.;L’aumento di produttività legato all’illuminazione del posto di lavoro.;Il fenomeno del turnover.;Il fenomeno per cui la natura del lavoro influenza le preferenze degli operai per il tipo di direzione aziendale.
52;Da quale tipologia di gruppo scaturisce l'ambiente amichevole all'interno del lavoro secondo Elton Mayo (1880 1949)?;Dai gruppi informali solitamente di piccole dimensioni.;Da gruppi formali solitamente di grandi dimensioni.;Da gruppi superficiali che si formano durante le pause.;Da gruppi esterni all’ambiente di lavoro.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
53;Secondo la dottrina “razionale” dell’homo economicus:;il rapporto di mercato degli interessi utilitari individuali è il regolatore dei comportamenti sociali.;l’uomo non può essere motivato solo da incentivi economici.;il fulcro di ogni sistema di organizzazione del lavoro è il controllo.;le relazioni interpersonali all’interno del luogo di lavoro devono essere affiliative.
54;Nell'analisi dei principi della burocrazia, Weber identifica tre tipi di autorità:;tradizionale, carismatica e legale.;tradizionale, razionale e direttiva.;legittima, direttiva e legale.;tradizionale, carismatica e direttiva.
55;Quale fra le seguenti è la funzione più importante di una impresa secondo Fayol?;Amministrativa.;Commerciale.;Finanziaria.;Tecnica.
56;Nel fayolismo quante sono le “funzioni dell’impresa”?;6,;8,;9,;12,
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
57;"Il diagramma (noto come ""progress chart"") di Henry Laurence Gantt:";ordina temporalmente i dati quantitativi.;identifica i percorsi di un equo incentivo economico.;identifica uno stile gerarchico del consenso.;pianifica le retribuzioni individuali.
58;Le scuole classiche dell’organizzazione si sono basate su di un preciso postulato: quale?;L’uomo è una variabile dipendente dall’organizzazione.;L’uomo è la vera variabile indipendente, mentre l’organizzazione è a lui subordinata.;L’uomo è un costo/investimento di dimensioni sempre più significative.;La direzione deve operare in un clima di consenso.
59;La teoria di Murray sulle motivazioni, attraverso la definizione dei bisogni come espressioni di forze che organizzano la cognizione, l'affetto e l'azione, spiega:;Le tendenze direzionali fondamentali della condotta e gli elementi distintivi della personalità.;Cosa determina e caratterizza l'intensità e la persistenza delle varie condotte.;Le componenti e lo sviluppo delle varie motivazioni in relazione allo sviluppo dei processi cognitivi e affettivi.;Le modalità di realizzazione degli scopi personali.
60;La ricerca sulla motivazione pone le sue basi su varie liste di bisogni e di istinti, relativamente alle liste dei bisogni, il contributo fondamentale si riferisce agli studi di:;Murray e Maslow.;Weiner.;Liberman.;Chomsky e Jakobson.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
61;A quale scopo viene effettuata, secondo gli studi di organizzazione aziendale, l'analisi costi/benefici?;Come tecnica di valutazione nell'ambito del processo decisionale.;Come metodo di coinvolgimento di tutti i lavoratori.;Come tecnica per ridurre la concorrenza sul mercato.;Come tecnica di ricerca.
62;"Secondo il modello di analisi del comportamento organizzativo detto ""modello delle competenze"" cos’è una competenza?";Una caratteristica interiore dell'individuo che risulta in una performance efficace in una certa situazione.;Una caratteristica psicologica dell'individuo.;La posizione formale ricoperta nell'organizzazione.;Una caratteristica esteriore dell'individuo che risultata da una prestazione lavorativa.
63;Le teorie della motivazione che analizzano il modo in cui la percezione di un bisogno si traduce in un comportamento organizzativo sono dette:;teorie del processo.;teorie del comportamento.;teorie oggettive.;teorie della valutazione.
64;"La teoria della motivazione detta ""modello di Maslow"" è:";una teoria del contenuto.;una teoria del processo.;una teoria della valutazione.;una teoria oggettiva.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
65;La cosiddetta piramide dei bisogni di Abraham Maslow vuole rappresentare i bisogni primari e i bisogni secondari degli individui. Alla base della piramide:;ci sono i bisogni fisiologici.;vi è il bisogno di sicurezza.;vi è il bisogno di realizzare sé stessi.;ci sono i bisogni di stima.
66;Qual è la classificazione tipica dei bisogni dell'approccio funzionalista, di cui sono importanti esponenti Mc Clelland e Maslow?;Sono distinti i bisogni legati alla sopravvivenza, alla realtà biopsicologica di base dell'essere umano, da quelli sociali, legati alla convivenza e alla partecipazione alla comunità umana.;Considerando il bisogno come prodotto sociale, determinato dal sistema economico-strutturale della società, si distinguono i bisogni radicali da quelli solvibili.;Più che una classificazione inserisce nella definizione una dose di soggettività intrinseca al bisogno, aggiungendo componenti quali il desiderio cosciente, l'aspirazione, l'intenzione.;Vengono distinti i bisogni oggettivi da quelli soggettivi. Quando emerge la variabile interveniente della coscienza sociale i primi si trasformano nei secondi.
67;Da quanti livelli di bisogni è composta la piramide di Maslow?;5 livelli.;4 livelli.;3 livelli.;7 livelli.
